Protocol,Sweep,Config_Profile,Config_Point,Metric_Name,N,Mean,SE,CI95_Low,CI95_High
BB84,sweep_a,Ideal_0%,f=0.0,QBER,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,SKR,200,0.49974,0.0011479332531854132,0.4974763255090168,0.5020036744909832
BB84,sweep_a,Ideal_0%,f=0.0,FPR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.1,QBER,200,0.024875867452821793,0.0004665544574721059,0.023955842337159847,0.02579589256848374
BB84,sweep_a,Ideal_0%,f=0.1,SKR,200,0.3330375665151509,0.002559392897382005,0.327990554941847,0.33808457808845477
BB84,sweep_a,Ideal_0%,f=0.1,FNR,200,1.0,0.0,1.0,1.0
BB84,sweep_a,Ideal_0%,f=0.2,QBER,200,0.049405976505710554,0.0006738270189804485,0.048077218905938406,0.0507347341054827
BB84,sweep_a,Ideal_0%,f=0.2,SKR,200,0.217509069717891,0.0029492430668216245,0.21169329055168298,0.223324848884099
BB84,sweep_a,Ideal_0%,f=0.2,FNR,200,1.0,0.0,1.0,1.0
BB84,sweep_a,Ideal_0%,f=0.3,QBER,200,0.07469042070688228,0.0008446978533406892,0.0730247132470717,0.07635612816669286
BB84,sweep_a,Ideal_0%,f=0.3,SKR,200,0.11846981365000571,0.0031291402641954453,0.11229928502814385,0.12464034227186757
BB84,sweep_a,Ideal_0%,f=0.3,FNR,200,1.0,0.0,1.0,1.0
BB84,sweep_a,Ideal_0%,f=0.4,QBER,200,0.10005069421055783,0.0009947330202875787,0.09808912392141843,0.10201226449969723
BB84,sweep_a,Ideal_0%,f=0.4,SKR,200,0.0385521207533767,0.0025680315677608315,0.03348807409748564,0.043616167409267756
BB84,sweep_a,Ideal_0%,f=0.4,FNR,200,0.985,0.008616625276509297,0.9680083893966224,1.0019916106033775
BB84,sweep_a,Ideal_0%,f=0.5,QBER,200,0.12258105004160176,0.0010383271671912935,0.12053351398918451,0.12462858609401901
BB84,sweep_a,Ideal_0%,f=0.5,SKR,200,0.004741727631410235,0.0009526448594465033,0.002863153366476911,0.006620301896343559
BB84,sweep_a,Ideal_0%,f=0.5,FNR,200,0.8,0.02835524820033344,0.7440846827474698,0.8559153172525303
BB84,sweep_a,Ideal_0%,f=0.6,QBER,200,0.14872729995483958,0.0011660484645115154,0.14642790305433137,0.15102669685534778
BB84,sweep_a,Ideal_0%,f=0.6,SKR,200,0.00014534285394386472,0.00014534285394386475,-0.00014126693805096617,0.00043195264593869564
BB84,sweep_a,Ideal_0%,f=0.6,FNR,200,0.21,0.028873315391699354,0.15306307675909359,0.2669369232409064
BB84,sweep_a,Ideal_0%,f=0.7,QBER,200,0.17347871623861555,0.0011995579710823848,0.17111324004733028,0.17584419242990082
BB84,sweep_a,Ideal_0%,f=0.7,SKR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,FNR,200,0.01,0.007053278933842965,-0.003908759552024665,0.023908759552024664
BB84,sweep_a,Ideal_0%,f=0.8,QBER,200,0.1965141853177877,0.001276568994626992,0.19399684673464412,0.19903152390093126
BB84,sweep_a,Ideal_0%,f=0.8,SKR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,FNR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,QBER,200,0.2236726791337979,0.0014269884856170404,0.2208587198510135,0.22648663841658231
BB84,sweep_a,Ideal_0%,f=0.9,SKR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,FNR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,QBER,200,0.24869134579535185,0.0014463562426754624,0.24583919413728858,0.2515434974534151
BB84,sweep_a,Ideal_0%,f=1.0,SKR,200,0.0,0.0,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,FNR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,QBER,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,SKR,200,0.33242499999999997,0.0010351228291158414,0.3303837827630206,0.33446621723697934
Six-State,sweep_a,Ideal_0%,f=0.0,FPR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.1,QBER,200,0.032910944221113396,0.0007110844868605216,0.03150871651373289,0.0343131719284939
Six-State,sweep_a,Ideal_0%,f=0.1,SKR,200,0.195152376778445,0.002374203148372158,0.19047055134262939,0.1998342022142606
Six-State,sweep_a,Ideal_0%,f=0.1,FNR,200,1.0,0.0,1.0,1.0
Six-State,sweep_a,Ideal_0%,f=0.2,QBER,200,0.067631439477686,0.0008787439645881246,0.06589859456599471,0.06936428438937729
Six-State,sweep_a,Ideal_0%,f=0.2,SKR,200,0.09622927285670321,0.0022400731031431884,0.09181194604135767,0.10064659967204875
Six-State,sweep_a,Ideal_0%,f=0.2,FNR,200,1.0,0.0,1.0,1.0
Six-State,sweep_a,Ideal_0%,f=0.3,QBER,200,0.10018569223002423,0.0011673490529301841,0.09788373062567246,0.102487653834376
Six-State,sweep_a,Ideal_0%,f=0.3,SKR,200,0.027559589252847023,0.00186478367338349,0.023882316884504626,0.03123686162118942
Six-State,sweep_a,Ideal_0%,f=0.3,FNR,200,1.0,0.0,1.0,1.0
Six-State,sweep_a,Ideal_0%,f=0.4,QBER,200,0.13176324018539357,0.0013434097894844089,0.1291140944594079,0.13441238591137922
Six-State,sweep_a,Ideal_0%,f=0.4,SKR,200,0.002013927522624781,0.000511801760485585,0.0010046766916756633,0.003023178353573899
Six-State,sweep_a,Ideal_0%,f=0.4,FNR,200,0.96,0.013891177924157583,0.932607200785092,0.987392799214908
Six-State,sweep_a,Ideal_0%,f=0.5,QBER,200,0.16575263413729366,0.0014513102750357808,0.16289071334269703,0.1686145549318903
Six-State,sweep_a,Ideal_0%,f=0.5,SKR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.5,FNR,200,0.505,0.035442288003096976,0.4351093482290375,0.5748906517709625
Six-State,sweep_a,Ideal_0%,f=0.6,QBER,200,0.19852453203971016,0.0014144507443642716,0.19573529663783926,0.20131376744158105
Six-State,sweep_a,Ideal_0%,f=0.6,SKR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,FNR,200,0.045,0.014695399751940973,0.0160213102887644,0.0739786897112356
Six-State,sweep_a,Ideal_0%,f=0.7,QBER,200,0.23010876487541612,0.001635522511432712,0.22688358555572533,0.23333394419510692
Six-State,sweep_a,Ideal_0%,f=0.7,SKR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,FNR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,QBER,200,0.2684610112370632,0.001712669964942281,0.26508370049155183,0.2718383219825745
Six-State,sweep_a,Ideal_0%,f=0.8,SKR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,FNR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,QBER,200,0.3020573701948876,0.0017386148018564394,0.29862889735843384,0.30548584303134135
Six-State,sweep_a,Ideal_0%,f=0.9,SKR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,FNR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=1.0,QBER,200,0.33217173268140143,0.0017895952378950296,0.32864272864047256,0.3357007367223303
Six-State,sweep_a,Ideal_0%,f=1.0,SKR,200,0.0,0.0,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=1.0,FNR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.0,CHSH_S,200,2.8331128099846477,0.003087619494456876,2.827024158516394,2.8392014614529013
E91,sweep_a,Ideal_0%,f=0.0,SKR,200,0.22215087890625,0.00031698861135867124,0.22152579113962798,0.222775966672872
E91,sweep_a,Ideal_0%,f=0.0,FPR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.1,CHSH_S,200,2.6856418482113953,0.0032782045541761107,2.6791773712873916,2.692106325135399
E91,sweep_a,Ideal_0%,f=0.1,SKR,200,0.15822285054671892,0.0006309873713812137,0.15697857087038353,0.1594671302230543
E91,sweep_a,Ideal_0%,f=0.1,FNR,200,1.0,0.0,1.0,1.0
E91,sweep_a,Ideal_0%,f=0.2,CHSH_S,200,2.552481049697758,0.00384039286781455,2.5449079618495736,2.5600541375459427
E91,sweep_a,Ideal_0%,f=0.2,SKR,200,0.11003487535875191,0.0006989815622580909,0.10865651409274575,0.11141323662475806
E91,sweep_a,Ideal_0%,f=0.2,FNR,200,1.0,0.0,1.0,1.0
E91,sweep_a,Ideal_0%,f=0.3,CHSH_S,200,2.4126320492473727,0.0037190450883714406,2.405298253946991,2.4199658445477543
E91,sweep_a,Ideal_0%,f=0.3,SKR,200,0.07200047678465267,0.000674101319711753,0.07067117827575833,0.073329775293547
E91,sweep_a,Ideal_0%,f=0.3,FNR,200,1.0,0.0,1.0,1.0
E91,sweep_a,Ideal_0%,f=0.4,CHSH_S,200,2.271311050066371,0.0037768670532547445,2.2638632323639363,2.2787588677688055
E91,sweep_a,Ideal_0%,f=0.4,SKR,200,0.03903047916185267,0.000665617057879885,0.037717911248600834,0.040343047075104506
E91,sweep_a,Ideal_0%,f=0.4,FNR,200,1.0,0.0,1.0,1.0
E91,sweep_a,Ideal_0%,f=0.5,CHSH_S,200,2.125809141895916,0.003790305396838398,2.118334824363908,2.133283459427924
E91,sweep_a,Ideal_0%,f=0.5,SKR,200,0.009223128171818484,0.0006090555324798638,0.00802209712873208,0.010424159214904888
E91,sweep_a,Ideal_0%,f=0.5,FNR,200,0.54,0.035330457200978174,0.47032987371112467,0.6096701262888754
E91,sweep_a,Ideal_0%,f=0.6,CHSH_S,200,1.9855741622252756,0.003989743710986358,1.9777065610045088,1.9934417634460424
E91,sweep_a,Ideal_0%,f=0.6,SKR,200,3.918137483625796e-05,2.8724873942442667e-05,-1.746282831734852e-05,9.582557798986445e-05
E91,sweep_a,Ideal_0%,f=0.6,FNR,200,0.02,0.0099243368701167,0.0004296389616144092,0.03957036103838559
E91,sweep_a,Ideal_0%,f=0.7,CHSH_S,200,1.844574787636481,0.003840916078228738,1.837000668040096,1.852148907232866
E91,sweep_a,Ideal_0%,f=0.7,SKR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.7,FNR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.8,CHSH_S,200,1.703444704275065,0.004196450478038724,1.695169486292268,1.7117199222578618
E91,sweep_a,Ideal_0%,f=0.8,SKR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.8,FNR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.9,CHSH_S,200,1.5572898932223758,0.004447833120816193,1.5485189595920426,1.566060826852709
E91,sweep_a,Ideal_0%,f=0.9,SKR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=0.9,FNR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=1.0,CHSH_S,200,1.4174011989387538,0.00437036918534476,1.408783020822917,1.4260193770545906
E91,sweep_a,Ideal_0%,f=1.0,SKR,200,0.0,0.0,0.0,0.0
E91,sweep_a,Ideal_0%,f=1.0,FNR,200,0.0,0.0,0.0,0.0
BB84,sweep_b,Ideal_0%,p=0.0,QBER,200,0.0,0.0,0.0,0.0
BB84,sweep_b,Ideal_0%,p=0.0,SKR,200,0.50093,0.0012088557237338218,0.4985461890445269,0.5033138109554731
BB84,sweep_b,Ideal_0%,p=0.0,FPR,200,0.0,0.0,0.0,0.0
BB84,sweep_b,Noise_2%,p=0.04,QBER,200,0.019507473455184943,0.0004131441085294881,0.018692771226651164,0.020322175683718722
BB84,sweep_b,Noise_2%,p=0.04,SKR,200,0.3629519226279595,0.002566002082522657,0.3578918780287653,0.3680119672271537
BB84,sweep_b,Noise_2%,p=0.04,FPR,200,0.0,0.0,0.0,0.0
BB84,sweep_b,Noise_5%,p=0.1,QBER,200,0.049055892288357154,0.0006277674184670367,0.04781796221924305,0.050293822357471256
BB84,sweep_b,Noise_5%,p=0.1,SKR,200,0.21860130913857082,0.002718327591597605,0.21324088525489981,0.22396173302224182
BB84,sweep_b,Noise_5%,p=0.1,FPR,200,0.0,0.0,0.0,0.0
BB84,sweep_b,Noise_8%,p=0.16,QBER,200,0.07979502817320128,0.0008821880164491412,0.07805539174090392,0.08153466460549863
BB84,sweep_b,Noise_8%,p=0.16,SKR,200,0.10022619675278321,0.0031285583519514862,0.094056815636579,0.10639557786898743
BB84,sweep_b,Noise_8%,p=0.16,FPR,200,0.0,0.0,0.0,0.0
BB84,sweep_b,Threshold_11%,p=0.22,QBER,200,0.11108021447700012,0.0010115425949031743,0.1090854964371914,0.11307493251680883
BB84,sweep_b,Threshold_11%,p=0.22,SKR,200,0.0160601925985012,0.0017843205622817813,0.012541589988666673,0.019578795208335727
BB84,sweep_b,Threshold_11%,p=0.22,FPR,200,0.055,0.016161092305986408,0.02313102826495344,0.08686897173504657
Six-State,sweep_b,Ideal_0%,p=0.0,QBER,200,0.0,0.0,0.0,0.0
Six-State,sweep_b,Ideal_0%,p=0.0,SKR,200,0.33402,0.0010636516224165437,0.3319225252223717,0.33611747477762827
Six-State,sweep_b,Ideal_0%,p=0.0,FPR,200,0.0,0.0,0.0,0.0
Six-State,sweep_b,Noise_2%,p=0.04,QBER,200,0.01975727641802609,0.0005643133283001312,0.018644475057276157,0.020870077778776024
Six-State,sweep_b,Noise_2%,p=0.04,SKR,200,0.2416754234990031,0.0022841829659847965,0.237171113950961,0.24617973304704519
Six-State,sweep_b,Noise_2%,p=0.04,FPR,200,0.0,0.0,0.0,0.0
Six-State,sweep_b,Noise_5%,p=0.1,QBER,200,0.04807308636005209,0.00079388181278558,0.04650758592396712,0.049638586796137064
Six-State,sweep_b,Noise_5%,p=0.1,SKR,200,0.1487390904783142,0.002232870496629277,0.14433596689001946,0.15314221406660897
Six-State,sweep_b,Noise_5%,p=0.1,FPR,200,0.0,0.0,0.0,0.0
Six-State,sweep_b,Noise_8%,p=0.16,QBER,200,0.07946084749633742,0.001067471556425865,0.07735583997484083,0.081565855017834
Six-State,sweep_b,Noise_8%,p=0.16,SKR,200,0.06828926861879077,0.0023455292989778397,0.06366398676793719,0.07291455046964435
Six-State,sweep_b,Noise_8%,p=0.16,FPR,200,0.0,0.0,0.0,0.0
Six-State,sweep_b,Threshold_11%,p=0.22,QBER,200,0.11123722110051616,0.0011040813681907342,0.10906002062112602,0.1134144215799063
Six-State,sweep_b,Threshold_11%,p=0.22,SKR,200,0.011710821776523954,0.0012145928125509098,0.009315697531213044,0.014105946021834865
Six-State,sweep_b,Threshold_11%,p=0.22,FPR,200,0.005,0.005000000000000002,-0.004859782721258771,0.01485978272125877
E91,sweep_b,Ideal_0%,p=0.0,CHSH_S,200,2.8247319029303037,0.0034221708699540892,2.81798353068775,2.8314802751728574
E91,sweep_b,Ideal_0%,p=0.0,SKR,200,0.2221673583984375,0.00034181604105715425,0.2214933120193446,0.22284140477753037
E91,sweep_b,Ideal_0%,p=0.0,FPR,200,0.0,0.0,0.0,0.0
E91,sweep_b,Noise_2%,p=0.04,CHSH_S,200,2.605311686370507,0.0038424597747956243,2.597734522671575,2.612888850069439
E91,sweep_b,Noise_2%,p=0.04,SKR,200,0.11680250489254164,0.000766163044517321,0.11529166466294186,0.11831334512214142
E91,sweep_b,Noise_2%,p=0.04,FPR,200,0.0,0.0,0.0,0.0
E91,sweep_b,Noise_5%,p=0.1,CHSH_S,200,2.2863384681369614,0.0039228729685329275,2.2786027331143948,2.294074203159528
E91,sweep_b,Noise_5%,p=0.1,SKR,200,0.02133675745600028,0.0006746641733644243,0.020006349024162106,0.022667165887838455
E91,sweep_b,Noise_5%,p=0.1,FPR,200,0.0,0.0,0.0,0.0
E91,sweep_b,Noise_8%,p=0.16,CHSH_S,200,2.00177425205666,0.003917575851875961,1.9940489627179507,2.00949954139537
E91,sweep_b,Noise_8%,p=0.16,SKR,200,0.0,0.0,0.0,0.0
E91,sweep_b,Noise_8%,p=0.16,FPR,200,0.0,0.0,0.0,0.0
E91,sweep_b,Threshold_11%,p=0.22,CHSH_S,200,1.7184758551247414,0.004699327496040422,1.7092089855153423,1.7277427247341406
E91,sweep_b,Threshold_11%,p=0.22,SKR,200,0.0,0.0,0.0,0.0
E91,sweep_b,Threshold_11%,p=0.22,FPR,200,0.0,0.0,0.0,0.0
